Condition,Year_Make_Model,Price,Vin
Used,2020 Buick  Enclave Premium Group FWD,"$25,499",VIN: 5GAERCKW6LJ129830
Used,GOLD CERTIFIED2024 Toyota  RAV4 XLE FWD,"$28,999",VIN: 2T3W1RFV3RW310263
Used,2023 Audi  A5 Sportback Premium Plus quattro,"$36,999",VIN: WAUFACF55PA003750
Used,2015 Audi  A3 1.8T Premium Plus FrontTrak,"$16,500",VIN: WAU5CLFF8F1080268
Used,2021 Subaru  Forester Sport AWD,"$27,500",VIN: JF2SKARC0MH570028
Used,2024 Subaru  Forester Limited AWD,"$32,750",VIN: JF2SKALC7RH515463
Used,2024 Subaru  Forester Wilderness AWD,"$32,999",VIN: JF2SKAJCXRH514665
Used,2025 Chevrolet  Equinox LT AWD,"$32,995",VIN: 3GNAXPEG4SL154402
Used,2022 Lexus  RX 350 FWD,"$44,500",VIN: 2T2HZMAAXNC249602
Used,2022 Lexus  RX 350 FWD,"$46,999",VIN: 2T2AZMAA3NC236658
Used,2021 Ford  Ranger XL 4WD Crew Cab,"$25,750",VIN: 1FTER4FH8MLD92309
Used,2023 Toyota  Sienna XSE AWD,"$46,250",VIN: 5TDDSKFC9PS087767
Used,GOLD CERTIFIED2023 Toyota  Tundra SR5 4WD CrewMax,"$43,750",VIN: 5TFLA5DB9PX092052
Used,GOLD CERTIFIED2023 Toyota  Camry SE FWD,"$23,750",VIN: 4T1G11AK9PU751193
Used,GOLD CERTIFIED2023 Toyota  RAV4 XLE FWD,"$28,600",VIN: 2T3W1RFV4PW280560
Used,2023 Jeep  Wagoneer Series II 4WD,"$54,750",VIN: 1C4SJVBP6PS501339
Used,2021 Toyota  RAV4 LE FWD,"$20,749",VIN: 2T3H1RFV5MC138658
Used,GOLD CERTIFIED2024 Toyota  Sequoia Platinum 4WD,"$77,500",VIN: 7SVAAABA8RX042486
Used,GOLD CERTIFIED2021 Toyota  Tacoma SR RWD Double Cab,"$32,500",VIN: 3TYAX5GN6MT017049
Used,2022 Nissan  Altima 2.5 SV FWD,"$17,999",VIN: 1N4BL4DV2NN349755
Used,2024 Nissan  Pathfinder Platinum 4WD,"$44,500",VIN: 5N1DR3DK2RC287594
Used,2021 Ford  EcoSport SE FWD,"$16,999",VIN: MAJ3S2GE3MC440583
Used,2024 Hyundai  Palisade Calligraphy AWD,"$39,995",VIN: KM8R7DGE6RU709447
Used,2024 Chevrolet  Trax LS FWD,"$20,500",VIN: KL77LFE2XRC057141
Used,2025 Lexus  UX 300h Premium FWD,"$40,250",VIN: JTHYBJAHXS2004375
Used,GOLD CERTIFIED2024 Toyota  Corolla LE FWD,"$23,650",VIN: 5YFB4MDE3RP156725
Used,2015 Kia  Optima SXL FWD,"$9,999",VIN: 5XXGR4A66FG455411
Used,GOLD CERTIFIED2024 Toyota  Highlander LE FWD,"$38,250",VIN: 5TDKDRAH0RS527830
Used,GOLD CERTIFIED2023 Toyota  Camry SE FWD,"$23,250",VIN: 4T1G11AK1PU092543
Used,2015 Lexus  RX 350 FWD,"$21,500",VIN: 2T2ZK1BA9FC161244
Used,2020 Chevrolet  Camaro 1LT RWD,"$21,999",VIN: 1G1FB3DX1L0103650
Used,GOLD CERTIFIED2022 Toyota  4Runner Limited RWD,"$46,250",VIN: JTEDU5JR6N5272011
Used,2017 Chevrolet  Tahoe LT 4WD,"$21,499",VIN: 1GNSKBKC8HR254799
Used,2024 Nissan  Pathfinder Platinum 4WD,"$42,750",VIN: 5N1DR3DJ7RC225311
Used,GOLD CERTIFIED2024 Toyota  RAV4 Hybrid XLE AWD,"$36,249",VIN: 2T3RWRFV6RW206641
Used,GOLD CERTIFIED2024 Toyota  RAV4 XLE Premium FWD,"$36,999",VIN: 2T3C1RFV9RC263244
Used,2022 Chevrolet  TrailBlazer LT FWD,"$21,995",VIN: KL79MPSL0NB018213
Used,GOLD CERTIFIED2019 Toyota  Highlander SE AWD,"$27,500",VIN: 5TDJZRFH4KS601259
Used,2022 Chevrolet  Blazer LT FWD,"$21,499",VIN: 3GNKBCR41NS129561
Used,2018 Toyota  4Runner SR5 4WD,"$33,250",VIN: JTEBU5JR0J5528547
Used,2021 Toyota  Tacoma SR 4WD Double Cab,"$35,499",VIN: 5TFCZ5AN0MX272443
Used,2018 Toyota  Highlander Limited Platinum FWD,"$26,750",VIN: 5TDYZRFH3JS247943
Used,2017 Honda  Pilot EX-L AWD,"$15,999",VIN: 5FNYF6H55HB088612
Used,GOLD CERTIFIED2022 Toyota  Camry SE FWD,"$24,499",VIN: 4T1G11AKXNU657983
Used,GOLD CERTIFIED2023 Toyota  Camry SE FWD,"$24,500",VIN: 4T1G11AK8PU802859
Used,GOLD CERTIFIED2021 Toyota  Camry SE FWD,"$22,999",VIN: 4T1G11AK7MU457092
Used,2024 Toyota  Camry SE FWD,"$28,250",VIN: 4T1G11AK5RU240888
Used,GOLD CERTIFIED2023 Toyota  Tacoma TRD Off-Road RWD Double Cab,"$30,750",VIN: 3TMAZ5CN5PM197138
Used,2019 Toyota  RAV4 LE FWD,"$22,750",VIN: 2T3H1RFV9KW030846
Used,GOLD CERTIFIED2021 Toyota  RAV4 XLE Premium FWD,"$31,250",VIN: 2T3C1RFV5MW147403
Used,2021 Cadillac  Escalade ESV Premium 4WD,"$65,250",VIN: 1GYS4KKLXMR438326
Used,GOLD CERTIFIED2024 Toyota  RAV4 XLE FWD,"$31,250",VIN: 2T3W1RFVXRC294368
Used,2018 Toyota  Tacoma SR5 4WD Double Cab,"$29,250",VIN: 5TFCZ5AN9JX161238
Used,2018 Honda  Ridgeline RTL FWD Crew Cab,"$20,999",VIN: 5FPYK2F53JB002024
Used,2021 Toyota  C-HR Limited FWD,"$23,995",VIN: NMTKHMBX7MR131351
Used,GOLD CERTIFIED2021 Toyota  Highlander Platinum AWD,"$39,499",VIN: 5TDFZRBH9MS151932
Used,2017 Hyundai  Santa Fe Sport 2.4 Base AWD,"$11,999",VIN: 5NMZTDLB7HH018879
Used,GOLD CERTIFIED2023 Toyota  Camry Hybrid LE FWD,"$26,249",VIN: 4T1C31AK3PU603615
Used,2024 Chevrolet  Silverado 1500 LT 4WD Crew Cab,"$43,750",VIN: 3GCPDDEK3RG389407
Used,GOLD CERTIFIED2025 Toyota  RAV4 Limited FWD,"$43,499",VIN: 2T3Y1RFV3SC306424
Used,2019 Toyota  Corolla L FWD,"$16,999",VIN: 2T1BURHEXKC216576
Used,2017 Chevrolet  Malibu LT FWD,"$13,250",VIN: 1G1ZE5ST6HF224842
Used,2020 Ford  F-150 XLT 4WD,"$28,999",VIN: 1FTEW1E58LKF50439
Used,2018 Toyota  RAV4 XLE FWD,"$17,999",VIN: JTMWFREV2JJ742588
Used,2020 BMW  X5 sDrive40i RWD,"$27,749",VIN: 5UXCR4C00L9B78465
Used,2019 Ford  F-150 Lariat 4WD,"$29,749",VIN: 1FTEW1E40KFC40509
Used,2020 Toyota  Camry SE FWD,"$17,500",VIN: 4T1G11AK7LU959275
Used,2021 Ford  F-150 XLT 4WD,"$32,999",VIN: 1FTFW1E11MFC73564
Used,GOLD CERTIFIED2022 Toyota  RAV4 Hybrid XSE AWD,"$37,750",VIN: JTME6RFV5ND527737
Used,2018 Jeep  Wrangler JK Unlimited Sport 4WD,"$23,249",VIN: 1C4BJWDG9JL886738
Used,GOLD CERTIFIED2022 Toyota  Highlander Hybrid Limited AWD,"$39,250",VIN: 5TDXBRCH2NS551081
Used,GOLD CERTIFIED2023 Toyota  Corolla LE FWD,"$20,250",VIN: 5YFB4MDE3PP000259
Used,2012 Kia  Soul Base FWD,"$6,499",VIN: KNDJT2A54C7387200
Used,2024 Toyota  RAV4 Hybrid XLE Premium AWD,"$39,500",VIN: JTMB6RFV4RD122641
Used,2023 Toyota  Prius XLE FWD,"$29,250",VIN: JTDACAAU8P3003529
Used,2024 Mazda  CX-5 2.5 S Carbon Edition AWD,"$29,999",VIN: JM3KFBCL2R0520228
Used,2022 Tesla  Model Y Performance AWD,"$30,999",VIN: 7SAYGDEF9NF309920
Used,2025 Toyota  Camry LE FWD,"$30,999",VIN: 4T1DAACK5SU062972
Used,2020 Cadillac  Escalade Platinum Edition 4WD,"$43,500",VIN: 1GYS4DKJ3LR119567
Used,2018 Audi  Q3 2.0T Premium quattro,"$14,749",VIN: WA1ECCFSXJR002160
Used,2009 Honda  Civic  FWD,"$5,000",VIN: JHMFA36249S005767
Used,2018 Toyota  Tacoma SR5 4WD Double Cab,"$30,250",VIN: 5TFCZ5AN7JX162212
Used,2021 Kia  Stinger GT2 RWD,"$35,995",VIN: KNAE55LC7M6096641
Used,2016 Subaru  Forester 2.5i Premium AWD,"$16,750",VIN: JF2SJAFC5GH403353
Used,2022 Subaru  WRX Base AWD,"$25,999",VIN: JF1VBAB63N8020846
Used,2023 Tesla  Model Y Long Range AWD,"$33,999",VIN: 7SAYGDEEXPA190198
Used,2024 Tesla  Model Y Standard Range RWD,"$34,999",VIN: 7SAYGDED1RF050845
Used,GOLD CERTIFIED2022 Toyota  Highlander XLE FWD,"$37,749",VIN: 5TDGZRAH9NS560245
Used,2018 Buick  Enclave Essence AWD,"$16,500",VIN: 5GAEVAKW0JJ209797
Used,2024 Toyota  Camry XSE V6 FWD,"$36,750",VIN: 4T1KZ1AK1RU099708
Used,GOLD CERTIFIED2024 Toyota  Camry XLE FWD,"$34,999",VIN: 4T1FZ1AK3RU094821
Used,2021 Ford  Bronco Sport Outer Banks 4WD,"$25,250",VIN: 3FMCR9C61MRA27944
Used,2017 Toyota  RAV4 XLE FWD,"$17,249",VIN: 2T3WFREV6HW396010
Used,2019 Toyota  RAV4 XLE FWD,"$21,999",VIN: 2T3W1RFV9KC017748
Used,2015 Chevrolet  Silverado 1500 LT 4WD Double Cab,"$23,995",VIN: 1GCVKREC8FZ282593
Used,2024 Toyota  Corolla LE FWD,"$22,499",VIN: 5YFB4MDE5RP209442
Used,2011 Dodge  Grand Caravan Express FWD,"$7,499",VIN: 2D4RN4DGXBR722773
Used,2019 Ford  Ranger Lariat RWD Crew Cab,"$21,999",VIN: 1FTER4EH1KLA25816
Used,2021 Ford  Expedition Max Limited 4WD,"$46,999",VIN: 1FMJK2AT8MEA01372
Used,2025 Tesla  Model Y Long Range RWD,"$39,999",VIN: 7SAYGDED7SA347895
Used,2022 Ford  Edge SE AWD,"$22,999",VIN: 2FMPK4G97NBA72609
Used,2024 Ford  F-350SD Lariat 4WD Crew Cab,"$78,499",VIN: 1FT8W3DT1REC05995
Used,2020 Land Rover  Range Rover Evoque R-Dynamic SE AWD,"$28,250",VIN: SALZL2GX8LH024722
Used,2017 Hyundai  Santa Fe Sport 2.4 Base FWD,"$10,500",VIN: 5XYZT3LB3HG414246
Used,2017 Ram  1500 Tradesman 4WD Quad Cab,"$16,750",VIN: 1C6RR7FT5HS758530
Used,2019 Jeep  Wrangler Unlimited Sahara Altitude 4WD,"$30,750",VIN: 1C4HJXEG1KW650728
Used,GOLD CERTIFIED2022 Toyota  4Runner TRD Sport RWD,"$41,750",VIN: JTEAU5JR7N5268391
Used,2018 Hyundai  Sonata Limited FWD,"$11,750",VIN: 5NPE34AF8JH639870
Used,2014 Honda  Accord LX FWD,"$12,500",VIN: 1HGCR2F39EA262814
Used,GOLD CERTIFIED2024 Toyota  Tundra Hybrid 1794 Edition 4WD Crew Cab,"$62,999",VIN: 5TFMC5DB2RX051604
Used,2005 Toyota  Sequoia Limited RWD,"$6,999",VIN: 5TDZT38AX5S243445
Used,2015 Honda  Accord LX FWD,"$10,750",VIN: 1HGCR2F35FA145507
Used,2020 Ford  Escape Titanium AWD,"$17,250",VIN: 1FMCU9J97LUB59268
Used,2019 Nissan  Armada SL 4WD,"$26,500",VIN: JN8AY2NC4K9589018
Used,2017 Jeep  Compass High Altitude 4WD,"$15,999",VIN: 1C4NJDEB3HD128600
Used,2015 Honda  Civic LX FWD,"$12,999",VIN: 19XFB2F56FE016979
Used,2025 Genesis  G70 2.5T RWD,"$45,499",VIN: KMTG34SC0SU144665
Used,2013 Hyundai  Accent SE FWD,"$7,500",VIN: KMHCU5AE9DU108782
Used,2021 Toyota  4Runner TRD Off-Road Premium 4WD,"$42,250",VIN: JTERU5JR5M5910771
Used,2024 Toyota  Crown XLE AWD,"$34,999",VIN: JTDAAAAF6R3026849
Used,2021 Volvo  S60 T5 Momentum FWD,"$24,500",VIN: 7JR102FK3MG091286
Used,2022 Toyota  Highlander XLE FWD,"$36,250",VIN: 5TDGZRAH9NS115083
Used,2021 Toyota  Highlander Platinum AWD,"$39,750",VIN: 5TDFZRBHXMS084919
Used,2022 Toyota  Camry LE FWD,"$24,750",VIN: 4T1C11AK5NU056673
Used,GOLD CERTIFIED2022 Toyota  RAV4 Adventure AWD,"$34,999",VIN: 2T3J1RFV3NW296336
Used,2011 Honda  Accord SE FWD,"$6,999",VIN: 1HGCP2F64BA022470
Used,2024 Ford  Mustang GT Premium RWD,"$48,500",VIN: 1FAGP8FF0R5122707
Used,2023 Jeep  Gladiator Overland 4WD Crew Cab,"$29,500",VIN: 1C6HJTFG2PL520013
Used,2024 Jeep  Grand Cherokee L Altitude 4WD,"$41,500",VIN: 1C4RJKAG8R8507674
Used,2014 Honda  CR-V LX FWD,"$11,999",VIN: 2HKRM3H32EH540018
Used,2017 Nissan  Maxima 3.5 SV FWD,"$14,499",VIN: 1N4AA6AP8HC386120
Used,2020 Honda  Accord Sport FWD,"$19,500",VIN: 1HGCV1F32LA012821
Used,2021 GMC  Yukon XL Denali 4WD,"$47,999",VIN: 1GKS2JKL1MR320031
Used,2006 Dodge  Dakota ST RWD Crew Cab,"$9,250",VIN: 1D7HE28K66S614463
Used,2019 Toyota  RAV4 LE AWD,"$21,500",VIN: JTMG1RFVXKD019847
Used,2008 Toyota  Highlander Sport AWD,"$10,000",VIN: JTEES43A782073373
Used,2023 Toyota  Highlander XLE FWD,"$39,999",VIN: 5TDKDRAH7PS038855
Used,2023 Toyota  Camry SE FWD,"$25,999",VIN: 4T1G11AK2PU781880
Used,2024 Toyota  RAV4 Hybrid XLE AWD,"$34,999",VIN: 2T3RWRFV8RW233517
Used,2020 GMC  Acadia Denali FWD,"$23,999",VIN: 1GKKNPLS7LZ146271
Used,2017 Ford  Explorer Sport 4WD,"$21,750",VIN: 1FM5K8GT7HGA40640
Used,2022 Toyota  4Runner SR5 Premium 4WD,"$39,750",VIN: JTENU5JR6N5973751
Used,2025 Toyota  Camry LE FWD,"$29,999",VIN: 4T1DAACK3SU152525
Used,2015 Dodge  Grand Caravan AVP FWD,"$7,999",VIN: 2C4RDGBG6FR508213
Used,2024 Genesis  GV80 3.5T AWD,"$63,999",VIN: KMUHCESC0RU184244
Used,2021 Toyota  4Runner SR5 Premium 4WD,"$35,999",VIN: JTENU5JR3M5857955
Used,2023 Toyota  4Runner SR5 4WD,"$43,999",VIN: JTEMU5JRXP6121587
Used,2018 Toyota  4Runner Limited 4WD,"$33,500",VIN: JTEBU5JR7J5507789
Used,2022 Tesla  Model Y Long Range AWD,"$30,250",VIN: 7SAYGDEE9NF353777
Used,2017 Toyota  Highlander XLE AWD,"$25,500",VIN: 5TDJZRFHXHS466233
Used,2021 Toyota  Camry LE FWD,"$24,999",VIN: 4T1C11AK2MU556093
Used,2021 Toyota  RAV4 XLE AWD,"$27,250",VIN: 2T3P1RFV7MW186480
Used,2024 Toyota  RAV4 XLE Premium FWD,"$37,750",VIN: 2T3C1RFV1RW316310
Used,2021 Ford  Bronco First Edition 4WD,"$43,999",VIN: 1FMDE5FP7MLA20427
Used,2017 Jeep  Renegade Sport FWD,"$8,999",VIN: ZACCJAABXHPF43099
Used,2019 Kia  Sorento L FWD,"$17,500",VIN: 5XYPG4A30KG557451
Used,2022 Toyota  Tundra SR5 4WD CrewMax,"$42,999",VIN: 5TFLA5DB2NX034555
Used,2019 Buick  Enclave Essence AWD,"$19,750",VIN: 5GAEVAKW6KJ171736
Used,2021 Toyota  RAV4 Hybrid LE AWD,"$24,999",VIN: 4T3MWRFVXMU034861
Used,2022 Toyota  C-HR XLE FWD,"$25,500",VIN: NMTKHMBX4NR146939
Used,2019 Toyota  RAV4 Hybrid LE AWD,"$20,750",VIN: 2T3MWRFV9KW005574
Used,2025 Volvo  XC90 B6 Plus 7-Seater AWD,"$64,999",VIN: YV4062PE1S1333281
Used,2023 Toyota  RAV4 Hybrid SE AWD,,VIN: JTM16RFV8PD086820
Used,2017 Lexus  LX 570 4WD,"$54,999",VIN: JTJHY7AX8H4230158
Used,2019 Toyota  4Runner SR5 RWD,"$29,750",VIN: JTEZU5JR5K5197657
Used,2023 Toyota  4Runner SR5 4WD,"$44,999",VIN: JTEMU5JRXP6097338
Used,2023 Toyota  4Runner SR5 RWD,,VIN: JTEEU5JR7P5301278
Used,2022 Toyota  4Runner SR5 RWD,,VIN: JTEEU5JR7N5262706
Used,2024 Toyota  4Runner SR5 RWD,,VIN: JTEEU5JR5R5306322
Used,2024 Toyota  4Runner SR5 RWD,,VIN: JTEEU5JR1R5305927
Used,2019 Toyota  4Runner TRD Off-Road Premium 4WD,"$40,500",VIN: JTEBU5JR9K5713925
Used,2019 Toyota  Tacoma TRD Pro 4WD Double Cab,"$43,999",VIN: 5TFCZ5ANXKX204602
Used,2022 Toyota  Camry  FWD,,VIN: 4T1KZ1AK7NU064875
Used,2020 Toyota  Tacoma  4WD Double Cab,,VIN: 3TMCZ5AN4LM358052
Used,2017 Toyota  Tacoma TRD Off-Road 4WD Double Cab,"$33,999",VIN: 3TMCZ5AN1HM110588
Used,2024 Toyota  RAV4 XLE Premium FWD,,VIN: 2T3C1RFV8RC271531
Used,Toyota Camry LE 4D Sedan FWD,,VIN: JTDBF30K120037278
Used,Volkswagen Atlas 3.6L V6 SE 4D Sport Utility FWD,,VIN: 1V2CR2CA5JC566821
