Condition_Year_Make_Model,Price,Dealer_Make,Dealer,Vin,Stock
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler 4xe sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge charger daytona r/t,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,"$57,165","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,"$49,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,"$49,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator mojave,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram promaster cutaway tradesman,"$48,680","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,"$57,950","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sahara,"$59,015","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sahara,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler pacifica hybrid pinnacle,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,"$51,745","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,"$50,510","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator rubicon,"$57,010","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 warlock,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sahara,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sahara,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator rubicon,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator rubicon,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sahara,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,"$73,035","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler 4xe willys 41,"$70,105","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,"$73,115","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler 4xe sahara,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler rubicon,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee summit reserve,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler rubicon,"$68,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee summit reserve,"$71,225","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler 4xe backcountry,"$74,365","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cutaway tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l summit reserve,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l summit reserve,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l summit reserve,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l summit reserve,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,"$79,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,"$79,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 3500 big horn,"$66,635","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 3500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 3500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 rebel,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 laramie,"$84,810","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,"$87,490","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram promaster delivery van bev promaster ev super high roof 159â wb ext,"$89,285","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 longhorn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 longhorn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 4500 chassis cab slt,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 4500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 4500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 limited,"$90,585","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 chassis cab slt,"$78,085","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 4500 chassis cab tradesman,"$78,560","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 3500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 3500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 3500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 2500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 ram 5500 chassis cab tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 tungsten,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2024 jeep grand wagoneer l series ii,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 tungsten,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 rebel,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 2500 laramie,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
