Price,Dealer_Make,Dealer,Vin,Stock,CPOV,Condition,Year,Make,Model,Trim
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
"$43,485","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
"$45,675","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
"$45,780","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Pacifica,select
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,altitude x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Voyager,lx
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Voyager,lx
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
"$49,675","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
"$53,690","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,mojave
"$52,020","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
"$51,745","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
"$53,680","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,r/t
"$52,540","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Charger,daytona r/t
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,limited
"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
"$55,760","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,4xe sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Charger,daytona r/t
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,Jeep,Wrangler,sport s
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
"$57,165","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
"$49,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
"$49,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,mojave
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
"$48,680","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,Promaster cutaway,tradesman
"$57,950","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
"$59,015","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Pacifica,hybrid pinnacle
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,willys
"$51,745","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cargo,van tradesman
"$50,510","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
"$57,010","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,rubicon
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,warlock
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,rubicon
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,rubicon
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
"$73,035","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
"$70,105","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,4xe willys 41
"$73,115","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,4xe sahara
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,rubicon
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,summit reserve
"$68,885","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,rubicon
"$71,225","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,summit reserve
"$74,365","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Wrangler,4xe backcountry
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,Promaster cutaway,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l summit reserve
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l summit reserve
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l summit reserve
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l summit reserve
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
"$79,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
"$79,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
"$66,635","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,3500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,3500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,3500,big horn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,rebel
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,2500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,5500,chassis cab tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,5500,chassis cab tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,laramie
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,laramie
"$84,810","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,2500,laramie
"$87,490","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,limited
"$89,285","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,Promaster delivery,van bev promaster ev super high roof 159â wb ext
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,longhorn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,3500,chassis cab tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,longhorn
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,4500,chassis cab slt
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,limited
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2024,RAM,5500,chassis cab tradesman
